Collection code,Call no.,iiif manifests,,,
conception,CA 24,https://iiif.archivelab.org/iiif/images_CA24_15/manifest.json,,,
conception,CA 23,https://iiif.archivelab.org/iiif/images_CA23_15/manifest.json,,,
conception,CA 22,https://iiif.archivelab.org/iiif/images_CA22_15/manifest.json,,,
conception,CA 21,https://iiif.archivelab.org/iiif/images_CA21_15/manifest.json,,,
conception,CA 20,https://iiif.archivelab.org/iiif/images_CA20_15/manifest.json,,,
conception,CA 19,https://iiif.archivelab.org/iiif/images_CA19_15/manifest.json,,,
conception,CA 18,https://iiif.archivelab.org/iiif/images_CA18_15/manifest.json,,,
conception,CA 17,https://iiif.archivelab.org/iiif/images_CA17_15/manifest.json,,,
conception,CA 16,https://iiif.archivelab.org/iiif/images_CA16_15/manifest.json,,,
conception,CA 15,https://iiif.archivelab.org/iiif/images_CA15_15/manifest.json,,,
conception,CA 14,https://iiif.archivelab.org/iiif/images_CA14_15/manifest.json,,,
conception,CA 13,https://iiif.archivelab.org/iiif/images_CA13_15/manifest.json,,,
conception,CA 12,https://iiif.archivelab.org/iiif/images_CA12_15/manifest.json,,,
conception,CA 11,https://iiif.archivelab.org/iiif/images_CA11_15/manifest.json,,,
conception,CA 10,https://iiif.archivelab.org/iiif/images_CA10_15/manifest.json,,,
conception,CA 09,https://iiif.archivelab.org/iiif/images_CA09_15/manifest.json,,,
conception,CA 08,https://iiif.archivelab.org/iiif/images_CA08_15/manifest.json,,,
conception,CA 07,https://iiif.archivelab.org/iiif/images_CA07_15/manifest.json,,,
conception,CA 06,https://iiif.archivelab.org/iiif/images_CA06_15/manifest.json,,,
conception,CA 05,https://iiif.archivelab.org/iiif/images_CA05_15/manifest.json,,,
conception,CA 04,https://iiif.archivelab.org/iiif/images_CA04_15/manifest.json,,,
conception,CA 02,https://iiif.archivelab.org/iiif/images_CA02_15/manifest.json,,,
conception,CA 01,https://iiif.archivelab.org/iiif/images_CA01_15/manifest.json,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
